Sr. No.,Hotel Code,State,Cost,Ratings
1,TN68367619,Tamilnadu,720,4.6
2,MH84778017,Maharashtra,560,5.4
3,TN11397489,Tamilnadu,1760,9.3
4,MH09379534,Maharashtra,680,9.8
5,TN01526325,Tamilnadu,560,2.8
6,TN60180797,Tamilnadu,420,9.2
7,KA55993890,Karnataka,910,5.7
8,TN22355225,Tamilnadu,1430,3.4
9,KA03831069,Karnataka,2110,9.5
10,KA69526916,Karnataka,870,9.8
11,TN44085124,Tamilnadu,960,4.6
12,MH40686103,Maharashtra,1190,2.2
13,TN22055569,Tamilnadu,600,3.5
14,MH06829506,Maharashtra,580,8.8
15,TN58122983,Tamilnadu,1750,7.2
16,TN02001814,Tamilnadu,1610,2.7
17,KA45379284,Karnataka,910,6.9
18,MH85842076,Maharashtra,1010,6.1
19,KA00976749,Karnataka,1500,3.5
20,TN02655796,Tamilnadu,610,8.6
21,MH49380798,Maharashtra,700,7.8
22,TN83041433,Tamilnadu,700,6.7
23,MH04716020,Maharashtra,1490,6.8
24,KA61084810,Karnataka,470,9.2
25,MH77175106,Maharashtra,1440,9.8
26,MH53980663,Maharashtra,1850,5.1
27,KA03561331,Karnataka,820,4.0
28,MH70170207,Maharashtra,1210,9.3
29,KA91510211,Karnataka,2160,5.7
30,MH43674602,Maharashtra,1830,3.7
31,KA30309289,Karnataka,820,9.8
32,TN71031088,Tamilnadu,1980,6.2
33,TN75056049,Tamilnadu,1280,8.3
34,MH85511309,Maharashtra,830,6.8
35,MH24441155,Maharashtra,1780,3.3
36,TN76210648,Tamilnadu,480,5.7
37,KA41019153,Karnataka,890,4.7
38,TN84833709,Tamilnadu,1530,3.5
39,MH86959346,Maharashtra,1090,8.2
40,TN91378149,Tamilnadu,900,5.6
41,MH56822069,Maharashtra,2160,9.1
42,TN78751859,Tamilnadu,700,8.0
43,KA52335211,Karnataka,540,6.4
44,MH39871947,Maharashtra,760,2.1
45,TN40817750,Tamilnadu,640,7.9
46,KA65648551,Karnataka,1280,9.0
47,KA49783032,Karnataka,1590,9.9
48,TN87465471,Tamilnadu,2200,2.9
49,TN49796605,Tamilnadu,2010,2.2
50,TN54540422,Tamilnadu,820,5.7
51,TN34556283,Tamilnadu,2160,6.9
52,MH03970362,Maharashtra,1120,6.1
53,TN69492341,Tamilnadu,1600,2.4
54,KA95321196,Karnataka,1160,8.9
55,KA45879746,Karnataka,460,7.8
56,MH86800075,Maharashtra,1030,2.9
57,TN84081551,Tamilnadu,1510,5.8
58,TN76831997,Tamilnadu,1490,3.1
59,KA11518129,Karnataka,950,6.5
60,TN62993715,Tamilnadu,1540,7.2
61,TN31938051,Tamilnadu,1160,7.4
62,TN69692543,Tamilnadu,1510,5.8
63,MH61086821,Maharashtra,1670,7.7
64,TN59161691,Tamilnadu,1530,9.5
65,TN00723329,Tamilnadu,530,8.2
66,KA80373063,Karnataka,2200,2.5
67,MH56565690,Maharashtra,530,9.0
